经纪公司代码,投资者代码,合约代码,报单引用,用户代码,交易所代码,成交编号,买卖方向,报单编号,会员代码,客户代码,交易角色,合约在交易所的代码,开平标志,投机套保标志,价格,数量,成交时期,成交类型,成交价来源,交易所交易员代码,本地报单编号,结算会员编号,业务单元,序号,交易日,结算编号,经纪公司报单编号,成交来源,经纪公司报单编号
9980,70030007,i1709,5,70030007,DCE,    30000116,1,    30002002,0149,02453191, ,i1709,0,1,430.5,7,20170620,14:33:53,0,0,00002149,        1607,0149,            30002002,2826,20170620,1,2753,0
9980,70030007,i1709,11,70030007,DCE,    30000119,0,    30002040,0149,02453191, ,i1709,1,1,434,2,20170620,14:35:53,0,0,00002149,        1612,0149,            30002040,2835,20170620,1,2793,0
9980,70030007,i1709,12,70030007,DCE,    30000120,1,    30002044,0149,02453191, ,i1709,0,1,430.5,2,20170620,14:36:03,0,0,00002149,        1615,0149,            30002044,2839,20170620,1,2798,0
9980,70030007,i1709,15,70030007,DCE,    30000121,0,    30002067,0149,02453191, ,i1709,1,1,434,2,20170620,14:37:43,0,0,00002149,        1623,0149,            30002067,2850,20170620,1,2813,0
