经纪公司代码,投资者代码,合约代码,报单引用,用户代码,交易所代码,成交编号,买卖方向,报单编号,会员代码,客户代码,交易角色,合约在交易所的代码,开平标志,投机套保标志,价格,数量,成交时期,成交类型,成交价来源,交易所交易员代码,本地报单编号,结算会员编号,业务单元,序号,交易日,结算编号,经纪公司报单编号,成交来源,经纪公司报单编号
9980,70030007,j1709,3,70030007,DCE,    30000104,0,    30001816,0149,02453191, ,j1709,0,1,1587,9,20170620,14:25:07,0,0,00002149,        1516,0149,            30001816,2654,20170620,1,2595,0
9980,70030007,j1709,4,70030007,DCE,    30000105,0,    30001818,0149,02453191, ,j1709,0,1,1587,4,20170620,14:25:12,0,0,00002149,        1517,0149,            30001818,2656,20170620,1,2596,0
9980,70030007,j1709,5,70030007,DCE,    30000106,0,    30001821,0149,02453191, ,j1709,0,1,1587,2,20170620,14:25:17,0,0,00002149,        1518,0149,            30001821,2658,20170620,1,2597,0
9980,70030007,j1709,6,70030007,DCE,    30000107,0,    30001827,0149,02453191, ,j1709,0,1,1587,1,20170620,14:25:22,0,0,00002149,        1519,0149,            30001827,2660,20170620,1,2601,0
9980,70030007,j1709,7,70030007,DCE,    30000108,0,    30001830,0149,02453191, ,j1709,0,1,1587,1,20170620,14:25:27,0,0,00002149,        1520,0149,            30001830,2662,20170620,1,2607,0
9980,70030007,j1709,3,70030007,DCE,    30000115,1,    30001999,0149,02453191, ,j1709,1,1,1517,24,20170620,14:33:48,0,0,00002149,        1606,0149,            30001999,2824,20170620,1,2751,0
9980,70030007,j1709,6,70030007,DCE,    30000117,1,    30002003,0149,02453191, ,j1709,1,1,1517,10,20170620,14:33:53,0,0,00002149,        1608,0149,            30002003,2828,20170620,1,2754,0
9980,70030007,j1709,7,70030007,DCE,    30000118,1,    30002004,0149,02453191, ,j1709,0,1,1517,1,20170620,14:33:53,0,0,00002149,        1609,0149,            30002004,2830,20170620,1,2755,0
