经纪公司代码,投资者代码,合约代码,报单引用,用户代码,交易所代码,成交编号,买卖方向,报单编号,会员代码,客户代码,交易角色,合约在交易所的代码,开平标志,投机套保标志,价格,数量,成交时期,成交类型,成交价来源,交易所交易员代码,本地报单编号,结算会员编号,业务单元,序号,交易日,结算编号,经纪公司报单编号,成交来源,经纪公司报单编号
RohonDemo,taocs01,a1801,2,taocs01,DCE,                 142,1,536870978,100673,100673,1,a1801,0,1,3815,6,20170802,10:46:45,0,0,100673,2,100673,59812039       a6,3,20170802,0,536870978,0
RohonDemo,taocs01,a1801,3,taocs01,DCE,                 143,1,536870979,100673,100673,1,a1801,0,1,3816,12,20170802,10:47:10,0,0,100673,3,100673,59812039       a6,4,20170802,0,536870979,0
RohonDemo,taocs01,a1801,4,taocs01,DCE,                 144,1,536870980,100673,100673,1,a1801,0,1,3816,8,20170802,10:47:15,0,0,100673,4,100673,59812039       a6,5,20170802,0,536870980,0
RohonDemo,taocs01,a1801,5,taocs01,DCE,                 145,1,536870981,100673,100673,1,a1801,0,1,3816,8,20170802,10:47:20,0,0,100673,5,100673,59812039       a6,6,20170802,0,536870981,0
RohonDemo,taocs01,a1801,6,taocs01,DCE,                 146,1,536870982,100673,100673,1,a1801,0,1,3816,8,20170802,10:47:25,0,0,100673,6,100673,59812039       a6,7,20170802,0,536870982,0
RohonDemo,taocs01,a1801,7,taocs01,DCE,                 147,1,536870983,100673,100673,1,a1801,0,1,3816,11,20170802,10:47:30,0,0,100673,7,100673,59812039       a6,8,20170802,0,536870983,0
RohonDemo,taocs01,a1801,8,taocs01,DCE,                 148,1,536870985,100673,100673,1,a1801,0,1,3816,3,20170802,10:49:05,0,0,100673,8,100673,59812039       a6,9,20170802,0,536870985,0
